acq_m_material_code_1;folio_name;folio_uuid_materialType
A;Druckschrift;24080190-7539-4520-bde1-762f57d006fc
B;Audiovisuelles Material;e378db32-4422-405d-bf08-89efd33335fd
C;Blindenschriftträger;e7a305fc-3409-4c6a-95fe-7d220e773144
D;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
E;Mikroformen;0a877486-1efb-43c2-b0e6-d539dd352aa2
F;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
G;Tonträger;baed4206-eef1-4c00-8126-d159a2113a71
H;Druckschrift;24080190-7539-4520-bde1-762f57d006fc
I;Druckschrift;24080190-7539-4520-bde1-762f57d006fc
J;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
K;Karten;e8b94e9e-4144-46a8-b31c-774978d1c5ec
L;Druckschrift;24080190-7539-4520-bde1-762f57d006fc
M;Noten;79edde01-85ce-451b-870a-edbfcbd8dbd7
N;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
O;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
P;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
Q;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
R;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
S;Computerlesbares Material;a662fc3c-6a6e-4992-a38b-a74f875204c1
T;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
U;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
V;Objekt;a84dfcf6-3ad7-4160-b926-3b2450eea081
W;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
X;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
Y;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
Z;Sonstiges;789c3cc7-54ac-41ed-90c6-da7fb417574a
